Genotype ,PLOT ID,Rep,Field Location,Growth Stage,Fresh Weight,Leaf Area
PHZ51 x LH145,5227,2,HIPS,2,5.9,346.6
B14A x Mo17,5237,1,HIPS,2,9.04,452.5
B14A x Mo17,5237,2,HIPS,2,7.3,386.1
WF9 x H95,5238,1,HIPS,2,8.11,446.3
WF9 x H95,5238,2,HIPS,2,6.88,409.8
PHK76 x 3IIH6,5240,1,HIPS,2,6.75,366.2
PHK76 x 3IIH6,5240,2,HIPS,2,5.9,330.2
PHK76 x LH145,5243,1,HIPS,2,5.76,344.3
PHK76 x LH145,5243,2,HIPS,2,4.55,295.7
B73 x Mo17,5245,1,HIPS,2,8.04,428
B73 x Mo17,5245,2,HIPS,2,10.31,419.2
PHJ40 x LH82,5247,1,HIPS,2,,
PHJ40 x LH82,5247,2,HIPS,2,4.28,301.7
LH123HT x 3IIH6,5249,1,HIPS,2,6.5,361.8
LH123HT x 3IIH6,5249,2,HIPS,2,5.55,281.4
